title,company,location,salary,description,date_posted,apply_link
Trainer (m/w/d) Data Center,Dussmann Group,"Frankfurt am Main, Hessen",Confidential,"Die Dussmann Group ist ein Familienunternehmen in den Bereichen Facility Management, Food Services und Technical Solutions, Pflege & Betreuung von Senioren und Kindern sowie Medienhandel. Trainer (m/w/d) Data Center – ID: 13075 Einsatzort: Frankfurt am Main Beschäftigungsart: Vollzeit Im neuen „Competence Center Data Center Services“ vermittelst Du Wissen rund ums Facility Management in Rechenzentren – praxisnah, verständlich und mit internationalem Fokus. Gemeinsam mit einem Expertenteam entwi…",2025-11-23T10:56:16Z,https://www.adzuna.de/land/ad/5510258238?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=65DE986C2999815447D96FC8712B7E3D8C52CE6E
SAP Variant Configuration & Master Data Specialist (f/m/x),ZEISS,"Oberkochen, Ostalbkreis",Confidential,"Step out of your comfort zone, excel and redefine the limits of what is possible. That's just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people. In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a s…",2025-10-02T20:38:38Z,https://www.adzuna.de/land/ad/5427370777?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=6F582055983B17C6FD5BB07FC81B84E6FACC8DA3
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Helmstedt, Helmstedt (Kreis)",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:13Z,https://www.adzuna.de/land/ad/5441300343?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=3C9250DB9F0ECAE2C35978CAF0FA40058B50C6D0
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Hannover, Region Hannover (Kreis)",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:14Z,https://www.adzuna.de/land/ad/5441300367?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=E32045EDE55BDB27491F17664179E944AB82475E
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Münster, Nordrhein-Westfalen",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:13Z,https://www.adzuna.de/land/ad/5441300344?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=3530B5DBD5F6DD355081D029C938AB525C824B04
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Hamburg, Deutschland",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:13Z,https://www.adzuna.de/land/ad/5441300346?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=6D18A64D74D28273E272151D46E91EDE5E55FD44
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Essen, Nordrhein-Westfalen",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:14Z,https://www.adzuna.de/land/ad/5441300365?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=14DB160CE946D8C2B1306931FE61F5301A6E23BA
Senior Data Engineer - Data Platform Architecture (m/w/d),E.ON Grid Solutions GmbH,"Dortmund, Nordrhein-Westfalen",Confidential,"Stellenbeschreibung Die Stelle ist befristet bis zum 31.12.2027. Gemeinsam entwickeln wir eine zentrale Plattform zur Digitalisierung des E.ON-Netzes: iPEN! Die Informationsplattform Energienetze (iPEN) stellt sicher, dass die Daten der regionalen Verteilnetzbetreiber zentral gebündelt und verfügbar gemacht werden können. Du unterstützt uns dabei, das neue Produkt „Business Insights Hub“ innerhalb von iPEN aufzubauen – eine Kombination aus Standardreporting und KI-basiertem Process Reporting & …",2025-10-10T16:59:13Z,https://www.adzuna.de/land/ad/5441300345?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=AB2CD3545E334F34F445EB8BB44A661F1BBBD1FE
Team Lead Data Engineering (m/w/d),Deichmann SE,"Essen, Nordrhein-Westfalen",Confidential,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",2025-10-28T21:56:08Z,https://www.adzuna.de/land/ad/5468601171?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=4054DC13DE9B0BD5D90FD2FF3100D7B720478948
Integration Engineer | Lobster_data (m/w/d),MHK Marketing Handel Kooperation GmbH & Co. Verbundgruppen Holding KG,Deutschland,Confidential,"Wir gehören zur Spitzengruppe der deutschen Möbeleinkaufskooperationen. Zu unserer Unternehmensgruppe gehören bekannte Marken wie musterhaus Küchen und REDDY Küchen, spezialisierte Dienstleistungsunternehmen für Marketing, Informationstechnologie, Betriebsführung und Finanzen sowie Handwerksbetriebe. Zur Verstärkung unseres Teams der MHK Group IT in unserer Unternehmenszentrale in Dreieich suchen wir zum nächstmöglichen Zeitpunkt Sie als Integration Engineer | Lobster_data (m/w/d) unbefristet, …",2025-11-11T20:14:52Z,https://www.adzuna.de/land/ad/5491055077?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=032AC6D53B95C36277922A8F26EBD1F54D30F2DD
Senior Quality Control Manager - Schwerpunkt Data Integrity*,RHEACELL GmbH & Co. KG,"Heidelberg, Baden-Württemberg",Confidential,"Wir sind RHEACELL, das biopharmazeutische Unternehmen für innovative Stammzelltherapien. Wir widmen uns der Arzneimittelentwicklung basierend auf ABCB5-positiven (ABCB5) mesenchymalen Stammzellen als Plattformtechnologie. Was uns verbindet, ist die Leidenschaft für Innovation und medizinischen Fortschritt: ABCB5-positive adulte mesenchymale Stamm- / Stromazellen aus der Haut – patentrechtlich geschützt, nach höchsten Qualitätsstandards (GMP/GfP/GLP) hergestellt und entwickelt, um Patientinnen u…",2025-11-13T20:20:39Z,https://www.adzuna.de/land/ad/5494527296?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=8ECC5B801038BC2CA74BF2A3A027AB1C4E94EECC
Analytics Engineer / Data Analyst (w/m/d),Lotum GmbH,"Bad Nauheim, Wetteraukreis",Confidential,"Bei Lotum konzipieren, entwickeln und betreiben wir mit rund 50 Mitarbeitenden innovative Mobile Games. Unser Ziel ist es, in kleinen Teams Produkte von großer Bedeutung zu erschaffen, die täglich Millionen Menschen gemeinsam spielen. Zu unseren aktuellen Franchises gehören 4 Bilder 1 Wort, Quiz Planet, Word Blitz und The Test. Unsere Spiele wurden schon von über einer Milliarde Spieler:innen weltweit auf Facebook Instant Games, Discord, TikTok sowie als native Apps für Android und iOS gespielt…",2025-11-23T10:56:09Z,https://www.adzuna.de/land/ad/5510257458?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=9C030ED57FBED20A5EA502E15CFDEB6C5B762C47
Senior Consultant Data Management (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,"Berlin, Deutschland",Confidential,"Begleite KPMG bei den zukünftigen Herausforderungen unserer Kunden und Kundinnen. Begeistere auch Du Dich für die Vielfalt unserer Fragestellungen - und mach gemeinsam mit uns den Unterschied. Als Senior Consultant in dem Bereich Financial Services Technology Consulting , berätst Du gemeinsam mit Deinem Team, Unternehmen des Finanzdienstleistungssektors sowohl bei der Entwicklung einer übergreifenden IT-Strategie, spezialisierte Fach- und IT-Architekturen als auch bei der Erarbeitung von Konzep…",2025-11-13T20:20:51Z,https://www.adzuna.de/land/ad/5494527655?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=BED9C0B1C2B0C835DA18F2CDB4FB167A76701178
Senior Data Migration Developer SAP (all genders),adesso business consulting AG,"Augsburg, Augsburg (Kreis)",Confidential,"Wir sind adesso business consulting, das SAP-Powerhouse der adesso Group. Als führender IT-Dienstleister stehen wir für Kundenorientierung, Wachstum und starke Perspektiven. Unser größter Erfolgsfaktor? Das sind unsere Mitarbeitenden! Als SAP-Profis begleiten wir kundenspezifische Herausforderungen und unterstützen die Auswahl, Anpassung und Implementierung von SAP-Lösungen. Unsere langjährige Erfahrung kombiniert technisches und Branchen-Know-how mit strategischem Denken und kreativen Ideen. D…",2025-11-19T09:24:44Z,https://www.adzuna.de/land/ad/5502986120?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=7A5BF7A7816260775773010DAF1C81BF6CA4F3C0
